10157|Tanya|Parks|F|1958|married|47 South District Road|50509|Reichelsheim|52161|Hessen|52617|52776|692-157-1909|K: 250,000 - 299,999|9000|Parks@company.example.com|Customer total|52772||01/01/1998||I
13713|Tanya|Parks|F|1964|single|57 West Seneca Drive|68524|Glasco|51583|KS|52630|52790|335-374-4099|K: 250,000 - 299,999|9000|Parks@company.example.com|Customer total|52772||01/01/1998||I
17268|Tanya|Parks|F|1961|married|67 East Hardy Avenue|44461|Marshal|51902|TX|52745|52790|602-114-4291|K: 250,000 - 299,999|11000|Parks@company.example.com|Customer total|52772||01/01/1998||I
20823|Tanya|Parks|F|1983|married|67 South Wadena Avenue|50799|Mainz|51893|Rheinland-Pfalz|52710|52776|518-421-5632|K: 250,000 - 299,999|9000|Parks@company.example.com|Customer total|52772||01/01/1998||I
24380|Tanya|Parks|F|1984|single|77 North Las Piedras Avenue|87220|Tuebingen|52382|Baden-Wuerttemberg|52559|52776|542-131-2717|K: 250,000 - 299,999|9000|Parks@company.example.com|Customer total|52772||01/01/1998||I
27935|Tanya|Parks|F|1957|single|87 West Atlantic Avenue|36598|Baltimore|51161|Cork|52575|52772|458-260-2692|K: 250,000 - 299,999|11000|Parks@company.example.com|Customer total|52772||01/01/1998||I
31490|Tanya|Parks|F|1960|married|97 Moore Avenue|84884|Ingelheim|51679|Rheinland-Pfalz|52710|52776|547-671-8314|K: 250,000 - 299,999|9000|Parks@company.example.com|Customer total|52772||01/01/1998||I
35046|Tanya|Parks|F|1957||97 South Carmell Avenue|70669|Aneta|51065|ND|52665|52790|378-157-9832|K: 250,000 - 299,999|9000|Parks@company.example.com|Customer total|52772||01/01/1998||I
36826|Tara|Aaron|F|1933||107 Wake Avenue|42178|Waldshut|52494|Baden-Wuerttemberg|52559|52776|438-677-4061|C: 50,000 - 69,999|3000|Aaron@company.example.com|Customer total|52772||01/01/1998||I
40381|Tara|Aaron|F|1952|married|107 South Las Vegas Avenue|90900|Mendham|51908|NJ|52670|52790|484-344-2749|C: 50,000 - 69,999|5000|Aaron@company.example.com|Customer total|52772||01/01/1998||I
43936|Tara|Aaron|F|1925||117 North Augusta Avenue|46744|Weissport|52501|PA|52693|52790|545-529-5338|C: 50,000 - 69,999|3000|Aaron@company.example.com|Customer total|52772||01/01/1998||I
32558|Tara|Aaron|F|1938||17 North Divide Court|84587|Hvidovre|51672|Copenhagen|52574|52777|298-529-1631|C: 50,000 - 69,999|3000|Aaron@company.example.com|Customer total|52772||01/01/1998||I
5570|Royden|Everline|M|1966||17 Mellette Court|64150|Berchtesgaden|51179|Bayern|52561|52776|485-399-4716|C: 50,000 - 69,999|7000|Everline@company.example.com|Customer total|52772||01/01/1998||I
41125|Royden|Everline|M|1957||17 South Brookings Court|90635|Asnieres|51073|Ile-de-France|52623|52779|193-594-7009|C: 50,000 - 69,999|9000|Everline@company.example.com|Customer total|52772||01/01/1998||I
